z,SNR,m1,m2,Mc,eta,dL,iota,theta,phi,psi
0.344669,501.869768,2984319.091547,824331.395028,1766157.117936,0.169592,1879.955338,1.483502,1.813074,1.728461,6.239835
0.442735,2775.921876,1840583.843270,1096013.533650,1772069.004529,0.233928,2523.089467,0.850751,1.263683,2.194917,4.280866
0.643746,2760.489037,295375.713854,243614.489371,383499.993384,0.247694,3955.209773,1.230123,1.468768,5.036377,4.715262
0.457632,1446.704885,1070557.487741,18790.437498,137512.666914,0.016952,2624.224050,1.107025,0.500822,3.176942,3.874379
0.609835,560.123389,945972.116244,435015.850893,885877.097582,0.215776,3704.018068,1.297925,1.503144,1.039139,1.421464
0.629490,1606.180295,87983.432653,52273.396877,95559.911329,0.233794,3849.166308,1.141658,2.957814,1.965713,3.930084
0.549459,1348.867845,923843.092834,302635.638010,692403.314466,0.185865,3265.997918,0.959904,0.694167,0.669341,5.748498
0.571123,959.128907,4056815.328729,2290887.990007,4136187.832759,0.230651,3421.767082,1.187219,0.701661,3.302589,3.974254
0.346420,1859.998409,1007112.745105,786538.461508,1041626.236483,0.246219,1891.081631,0.930863,0.538407,0.090638,3.540056
0.401259,7952.298370,666378.447916,495756.240888,699617.585968,0.244611,2246.174395,0.542178,2.822909,0.687533,0.139362
0.674915,16.602464,13331944.498586,152805.161784,1525608.460484,0.011203,4189.201363,1.490096,0.518871,0.765642,1.953310
0.634407,1670.303294,75403.374355,45349.529507,82672.050084,0.234514,3885.668319,1.386443,2.199065,0.527157,1.662741
0.962635,699.945192,20304.603485,13161.200662,27800.543167,0.238609,6472.174555,0.938436,1.762564,0.241196,4.566030
0.853332,495.739770,3057995.424232,1819645.620853,3780641.494889,0.233886,5580.809703,0.544970,0.785811,4.704241,2.072386
1.201637,386.227236,802688.608825,583727.711732,1308643.587034,0.243764,8506.175297,0.927601,1.495186,1.377940,2.697927
1.119857,1688.148412,134448.557428,73730.552673,182113.193495,0.228733,7798.251714,0.212432,2.081828,1.484941,2.951904
0.867562,866.906141,1229074.754035,365028.997192,1051756.369561,0.176552,5695.304777,0.550332,1.999835,1.152257,5.397152
0.806798,7379.959107,337346.117221,170032.707945,372398.590500,0.222815,5209.825105,0.599051,2.193265,5.843044,5.466848
1.372563,589.932674,42736.627070,29862.715341,73551.051050,0.242139,10020.967365,0.491385,2.237361,1.810548,0.122359
1.374736,391.369818,1071471.098083,450741.110081,1410797.956986,0.208429,10040.508395,0.921366,1.350255,0.730446,0.816596
1.040369,1121.490580,292296.497403,112023.463686,314371.608653,0.200301,7121.759204,1.484729,1.259649,0.792100,3.627295
1.007980,1492.643693,139740.217885,110257.126892,216675.192027,0.246523,6849.604256,1.424660,2.436958,0.850498,5.915175
1.330179,402.283056,2837039.091804,2348798.619182,5231813.009878,0.247784,9641.198426,0.230386,1.302787,1.892945,1.449473
1.374186,700.424259,176448.189129,33180.736321,148500.003386,0.133230,10035.565906,1.194828,2.702450,1.673280,1.983217
1.070272,159.574597,3878017.417566,1875912.884903,4798748.265244,0.219732,7374.849538,1.446725,0.604958,1.366044,1.536394
1.109751,167.669587,2744681.512875,1881343.913001,4158777.618142,0.241293,7711.586352,1.327443,0.787721,0.082618,3.991063
1.020001,3203.889752,65553.438984,54013.396232,104541.242895,0.247671,6950.368394,0.171042,1.701028,6.241454,4.022058
1.296054,147.748378,1096081.370690,361953.986764,1222717.754886,0.186621,9337.361663,1.494192,1.169493,4.754318,3.655544
1.220111,416.557667,1161936.122169,260163.002858,1009358.582464,0.149475,8667.681825,0.471483,1.011792,4.757520,1.421704
1.433310,58.029087,1688016.312679,392404.900109,1641473.245636,0.153041,10569.743205,1.556130,1.890287,1.278351,1.306300
1.524598,1010.338573,349409.884910,288157.399284,696732.475823,0.247693,11403.777145,1.080045,0.442365,3.935832,0.898182
1.046367,171.852277,3410145.431896,1147905.466699,3426377.050796,0.188417,7172.385098,1.550458,2.366594,3.015104,6.154438
1.009794,435.976470,4472728.191619,2852448.142421,6218163.074555,0.237768,6864.790555,0.573267,1.631816,3.181688,4.565281
1.200186,1555.304346,316898.606518,304120.338447,594590.293451,0.249894,8493.512858,1.437465,2.352037,0.319155,4.716085
1.250199,979.590850,637568.985797,466920.111687,1066229.152885,0.244032,8931.906222,0.827461,1.484603,5.632748,3.444884
1.120900,1690.922336,351261.694437,309132.567448,608169.748190,0.248983,7807.200237,0.531770,0.700591,5.926634,1.425750
1.268225,537.806049,499146.205815,389431.355374,869245.210211,0.246189,9090.900548,0.980006,1.601398,4.240184,4.192519
1.240632,902.704625,951102.628611,226938.250765,864210.386760,0.155530,8847.728387,0.440672,0.808029,3.887272,1.914209
1.309565,145.446149,4898899.041329,2520963.067480,6989563.193072,0.224323,9457.447892,0.950691,0.410453,4.065800,1.323120
