z,d_L,Δd_L
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.927099999999999841e-02,1.349705321461731611e+02,4.145880416776114713e+00
3.519499999999999712e-02,1.623850076385917329e+02,5.881078793545432143e+00
6.058499999999999996e-02,3.343617288277852539e+02,2.005758610789929591e+01
6.628299999999999470e-02,3.044555793710622127e+02,1.564701913848646347e+01
7.105300000000000504e-02,3.471460911236554092e+02,2.176281572529307692e+01
7.173000000000000209e-02,3.864551496455912449e+02,1.838569921706281057e+01
7.617999999999999772e-02,3.740013698008698428e+02,2.434878562236336697e+01
8.181900000000000284e-02,4.548336554501049567e+02,3.310472290521868782e+01
8.869799999999999907e-02,4.358374856176006062e+02,2.837996675254396070e+01
9.186900000000000621e-02,5.119558921071302171e+02,3.775893840327994300e+01
9.423700000000000132e-02,5.046695299613543906e+02,3.485213490758733851e+01
9.528799999999999770e-02,4.731561076258113396e+02,4.037300786123234481e+01
9.995600000000000318e-02,5.430604711999846845e+02,3.530744602705315066e+01
1.025309999999999971e-01,5.798493794289022452e+02,4.111815379529294712e+01
1.148689999999999989e-01,6.513144106344425088e+02,4.849050762316586133e+01
