z,d_L,Δd_L
0,0,0
1.666680463919048560e-02,7.481064774808328366e+01,5.856767998266815489e+00
3.963679854620651144e-02,1.809516762347089696e+02,1.416632549651107809e+01
1.924756207985185014e-02,8.656162775429619671e+01,6.776727465539631012e+00
1.909413571593031669e-02,8.586178726754710056e+01,6.721938428282717481e+00
2.509183939293552906e-02,1.133364189239430715e+02,8.872869456058385396e+00
3.455423246370101231e-02,1.571663824229131023e+02,1.230422495575123953e+01
3.931087890139874086e-02,1.794213798756655081e+02,1.404652181864839555e+01
1.404526796526796122e-02,6.291959861075953597e+01,4.925842813822328914e+00
4.186436924900557160e-02,1.914293580327430959e+02,1.498660112969888480e+01
3.154137781221463127e-02,1.431467858553449446e+02,1.120666027749795823e+01
5.591590417298978460e-02,2.582631780749110249e+02,2.021888009275493303e+01
5.765408748044857645e-02,2.666188077913683969e+02,2.087302473929648627e+01
7.606057864418099002e-02,3.562775787329110813e+02,2.789222101978606005e+01
6.951787591419356094e-02,3.241627266637853495e+02,2.537801691209141097e+01
8.086952917402902286e-02,3.800531401885600644e+02,2.975355963488766164e+01
8.926246007140184457e-02,4.218920954002828694e+02,3.302904329050424792e+01
8.262644012738493138e-02,3.887752655392602605e+02,3.043639645248708447e+01
7.379150710585308248e-02,3.451094138668188407e+02,2.701788892193609115e+01
9.786725819727509768e-02,4.652376317877814813e+02,3.642247401224955183e+01
9.130982975308028771e-02,4.321642736708065513e+02,3.383323048548594159e+01
5.842246491560795091e-02,2.703186327279677812e+02,2.116267623865033443e+01
5.214864951362339213e-02,2.402200169482419199e+02,1.880631902216916274e+01
8.772446618259660545e-02,4.141925653182041742e+02,3.242626330204242180e+01
9.062949395948222131e-02,4.287479941571799031e+02,3.356577715991230093e+01
5.956088621838866171e-02,2.758071874143632840e+02,2.159236362155154865e+01
7.758766074424543191e-02,3.638118728384396832e+02,2.848206503176924542e+01
5.800372770441371978e-02,2.683018978950488531e+02,2.100479031751510206e+01
1.365710659643897262e-01,6.657205418756374229e+02,4.598634587468283286e+01
1.386618197599876201e-01,6.768025504077197638e+02,4.675186390407500170e+01
1.005582511579092841e-01,4.788860479172636246e+02,3.308027625531370575e+01
1.392944295508923291e-01,6.801606969360045696e+02,4.698383644815855575e+01
1.051165431698417307e-01,5.021055578400985269e+02,3.468422317776211372e+01
1.089383128735272183e-01,5.216701423200938734e+02,3.603569679498991718e+01
1.002093984325891918e-01,4.771142194897575450e+02,3.295788268357814843e+01
1.410573730647818325e-01,6.895313626015775981e+02,4.763113910034794429e+01
1.195842707592848497e-01,5.766317395930107068e+02,3.983230943202273266e+01
1.302663216777535105e-01,6.324567602045622152e+02,4.368856524031004795e+01
1.292218993068666721e-01,6.269688726586148277e+02,4.330947539865026386e+01
1.168495624817594419e-01,5.624486967854303430e+02,3.885257954376179867e+01
1.485438436839472964e-01,7.295247251066980425e+02,5.039378271003786125e+01
1.199320646069664403e-01,5.784386952067842458e+02,3.995712950382203843e+01
1.150413500974748066e-01,5.530952317951069972e+02,3.820646507212499188e+01
1.158637013859099979e-01,5.573466451365563898e+02,3.850014230165031393e+01
1.160744948116798902e-01,5.584370607868049774e+02,3.857546554629320923e+01
1.491989759844857821e-01,7.330398524705756245e+02,5.063659910607906056e+01
1.401294093134904939e-01,6.845966614733254119e+02,4.729026202265910683e+01
1.187270256105179278e-01,5.721810111602200095e+02,3.952486400375347131e+01
